lokasi;Sentimen;komentar
bukit tinggi daramista;Positif;Luar biasa
bukit tinggi daramista;Positif;Wisata bukit tinggi daramiata tempat yang cocok bagi penikmat wisata alam dengan keindahan pemandangan alamnya
bukit tinggi daramista;Positif;Alhamdulillah jualan saya selama ini berjalan dengan lancar, dan semuga kedepanya makin lancar, amin
bukit tinggi daramista;Negatif;Tidak terawat
bukit tinggi daramista;Netral;???? …
bukit tinggi daramista;Positif;Mski smpt hujan wkt dtg,tp ttp setia nunggu hujan smp reda.dan itu smua tdk mengurangi keindahan yg disuguhkan di tempat ini mski dlm keadaan basah kondisix???? …
bukit tinggi daramista;Positif;Bagus sekali tempatnya. Semoga menjadi wisata berkah tur mashlahah.
bukit tinggi daramista;Negatif;Jelek tidak terawat. Toiletnya jorok dan bau. Jalan akses menuju lokosi sempit. Tolong lebih di perhatikan lagi untuk tanamannya di siram. Sudah kering dan tidak terawat
bukit tinggi daramista;Negatif;tiket masuk : 15K kondisi kurang terawat. entah karena apa. seakan sudah tak lagi diperhatikan keadaannya.
bukit tinggi daramista;Positif;Walau naiknya bikin keringat meleleh tapi spot fotonya oke banget
bukit tinggi daramista;Positif;"Disuguhi pemandangan yang indah diatas bukit, cuma managemen pariwisatanya kurang bagus, disarankan bawa makanan minuman dari rumah.
Parkir 5k. Tiket masuk 15k."
bukit tinggi daramista;Positif;Tempatnya enak, sejuk, jalan aksesnya sudah OK
bukit tinggi daramista;Positif;Inilah desa saya dan wisata saya di bukit tinggi daramista,  mantap guys
bukit tinggi daramista;Netral;buat rekan yang berkunjung ke wisata boekit tinggi barangkali ada yang butuh genteng karang penang hubungi langsung wa saya
bukit tinggi daramista;Positif;Udaranya sejuk, tempatnya bersih, bagus untuk foto-foto, harga terjangkau, akses jalannya juga gampang
bukit tinggi daramista;Positif;Tempatnya nyaman, indah dan recomen lah pokoknya, asli ga nyesel dateng kesitu
bukit tinggi daramista;Positif;"Tiket lumayan murah
Ada beberapa tempat swafoto yang bagus.
Siapkan tenaga extra jika membawa anak kecil. …"
bukit tinggi daramista;Positif;"Pemandangan bagus tapi agak terhalang pohon2 yang besar di depannya.
Harga tiket cukup mahal, dan masih terkena biaya parkir.
Wahana dan tempat foto sudah bagus dan bervariasi.
Overall bagus... Mantap..."
