lokasi;Sentimen;komentar
pantai sembilan;Positif;Pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan , biaya parkir 10ribu terus nyebrang per orang sekitar 20rb kalo engga 10rb (lupa) dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget . Awas makelar bos hahahaa
pantai sembilan;Positif;"Pantai nya bagus, air nya jernih dan bersih, asri dan alami.
Nyaman buat bersantai atau liburan bersama keluarga ataupun teman²..."
pantai sembilan;Positif;Pantai nya bagus, kalo weekday sepi. Enak berasa pantai pribadi. Cuman akses nya belom bagus. Buat yang traveling individu harus nunggu perahu nya penuh baru berangkat.jadi gada jam keberangkatan. Bisa nunggu lama di pelabuhan nya
pantai sembilan;Positif;Pantai ini indah sekali terletak di Pulau Gili Genting . Tenang. Dan cukup bersih...untuk mencapainya...perlu menyeberang dengan kapal dari pelabuhan Tanjung Sumenep. …
pantai sembilan;Positif;Pantainya bersih, tenang cocok buat healing menghindari keramaian kota.
pantai sembilan;Positif;Sumenep menjadi salahsatu Kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati, salah satunya gili genting , pantai sembilan. Kalo dr sumenepnya nyebrang 30 menit aja. Ohiya , perahunya cuman bisa angkut manusia
pantai sembilan;Positif;Bagus, Biaya masuk murah, Tersedia tempat penginapannya jg 300-500rb per malam
pantai sembilan;Positif;"Pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfoto-foto ria dan wahana permainan yg tentunya seru untuk dimainkan, dan di sini juga banyak rumah"" kecil yg bisa di sewa"
pantai sembilan;Positif;Masuk kesini dikasih gratis sama penjaga pantainya baik banget. Namanya bang Saipul haha makasih banyak yaa bang. Mana mau direpotin lagi penjaga pantainya hahaha. Disuruh nganterin ke tengah laut yang ada rumah apungnya itu. Mau aja :(
pantai sembilan;Positif;Pantainya bagus. Pasir putih ombak juga gak gede2. Aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes
pantai sembilan;Positif;"Pantainya bagus dan lumayan bersih. Hanya sayangnya kurang luas.
Tiket masuk 15rb.
Tersedia tempat menginap 300rb (kamar mandi luar), 500rb (kamar mandi dalam)"
pantai sembilan;Negatif;Pantai ini cukup bgus cuma infrastrukturx kurang bangaus banyakx sampah terutama di tempat wisatax masih kurang bersih
pantai sembilan;Positif;Pantai yang sungguh cantik dengan pengelolaan yang baik. Fasilitas lengkap. Sangat cocok dijadikan tempat liburan bersama keluarga, rekan maupun sahabat. Saran bisa ditambah spot spot fotonya ?? kurang banyak... Semoga bisa diperindah lagi penampilannya...sehingga tambah mempesona. Recommended for healing. …
pantai sembilan;Positif;Tempatnya sejuk dibawah pohon laut yg di hembus angin semilir pantai sebagai ac alami dari Allah. Hamparan Pemandangan laut yg luas dgn pulau2. Mushalla t4 ibadah ada dgn air tawar yg bersih. Kedai2 makanan kecil banyak bahkan makanan berat sekalipun ada, nasi, bakso, mieso, soto dll. Disini ada juga pondok2 t4 nginapnya gaes.
pantai sembilan;Positif;Cukup bagus dibanding beberapa pantai Madura yang sudah mulai rusak. Pantai 9 jadi salah satu yang masih terawat saat ini. Minimal kamar mandi, penginapan, dan kebersihan cukup terjaga. Fasilitas MCK dan musholla lumayan bersih dan layak. Akses dari pelabuhan juga mudah dan dekat.
pantai sembilan;Positif;"Pantai Bersih, Pasir Putih, Laut Biru, Penginapan, Jajanan, Camp, Lengkap banget disana ????
Jatuh cinta pandangan pertama sama pantai ini?? …"
pantai sembilan;Positif;"Keren sih tempatnya buat liburan keluarga.
Sempat makan siang di gazebo dg kuliner yg ada, muantabek..
Udaranya jg sejuk, next mungkin fasumnya ditambah akan bs jd perhatian …"
pantai sembilan;Positif;Air pantainya terlihat biru, indah bgt.. kesana pas weekday jd sepi warung2 pd tutup masuk jg gratis krn g ada yg jaga.. cuma bayar ongkos naik perahu aja..
pantai sembilan;Positif;Bikin deg deg an ketika menyeberang menuju pulaunya soalnya perahunya agak sedikit masih kurang aman untuk para orang tua., maksudnya akses naik dan turun perahu ke daratan agak susah. Tapi setelah itu puas dengan pemandangan pantainya. …
pantai sembilan;Positif;Pantai dengan ombak yang tenang dan cukup murah tiket masuk maupun penyeberangannya. Pasir putih dan tersedia penginapan tepi pantai yang murah dan cukup bagus. Perlu ditingkatkan kebersihan tepi pantainya oleh pengelola. Semoga tetap asri dan berkembang maju
pantai sembilan;Positif;View sangat cantik tapi fasilitas belum cukup tapi gpp sudah bisa dibayar dengan kecantikan alam
pantai sembilan;Positif;Salah satu pantai di Sumenep Madura yang bagus dan bersih. Pantai sembilan ini mirip gili trawangan di lombok. Bisa jadi alternatif kalau kejauhan ke lombok hehehe. Butuh waktu 30-45 menit untuk menyebrang ke pantai sembilan. Tiket sekali …
pantai sembilan;Negatif;"Pantainya bagus. Kelihatannya bening
Tapi waktu renang jadi butek soale isinya lumpur bawah'e.
Penginapannya puanas, dapetnya yg paling pojok. …"
pantai sembilan;Positif;Pantai masih bersih walaupun tidak terlalu besar. Akses kesana juga tidak sulit, Ada ojek yang bisa mengantar sampai ke pelabuhan.. Bagi yang gak punya kendaraan, pake bis bisa, lanjut pake ojek. …
pantai sembilan;Positif;Seperti surga yang tersembunyi, pantai sembilan sungguh bagus dan bersih dengan pemandangan awan yang cerah, laut yang biru dan pasir putih nya. Sungguh memanjakan mata. Untuk kesana anda perlu menyeberang dengan biaya kapal 10rb per orang …
pantai sembilan;Negatif;Jauh2 nyebrang pake perahu, pantainya mirip2 lombang, mending lombang aja
