lokasi;Sentimen;komentar
Bukit Jaddhih;Negatif;Jalanan k tempat agak susah. Lagi beruntung karena hari biasa dan siang hari, jadi tidak ada pengunjung lain. Serasa VIP ?? Mas nya baik banget nunjukin tempat2 foto, semi tur guide, sekaligus jd fotografer  ?? …
Bukit Jaddhih;Negatif;"Ga dikelola secara khusus. Mungkin karna emang area pertambangan aktiv ya.. masih ada aktivitas.
Bagus buat spot foto, tapi air kolamnya ga selalu ada. Musim hujan aja ga tentu …"
Bukit Jaddhih;Negatif;Gersang hanya ada bukit kapur,bentuknya bgs jg sih bks diambilin trs batunya
Bukit Jaddhih;Negatif;"Semacam tebing kapur bekas galian tambang.
Jalan kesana lumayan tidak bagus, serasa off road. Cuacanya panasss banget. Jangan lupa pakai sunscreen dan sunglasses. …"
Bukit Jaddhih;Negatif;Asli bagus banget, ga tau suka aja tempat yang alam banget kaya gini. Sayangnya akses jalannya yang minta ampun jelek banget. Belum aspal juga pas masuknya. Jadi berdebu banget. Terus harus bayar tiket 2x, buat masuk mobil bayar 20k. 
Bukit Jaddhih;Negatif;Jadi salah satu alternatif wisata di pulau Madura. Bukit Jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi. Dibagian lain sdh berubah fungsi menjadi tempat wisata. Akses kesini lumayan sulit …
Bukit Jaddhih;Positif;Biaya masuk mobil 5rb, semoga next ada papan petunjuk jalan ke wisata (soalnya kalo pake maps diputer2in) & jalan kesana lebih baik. Krn mobil kecil uda berusaha menghindar tetep gasruk, alhasil cat mobil di bemper depan ngelupas
Bukit Jaddhih;Negatif;Pertama kali kesini, pakai google map. Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri. Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet, jalannya juga belum terlalu baik masih berlubang. Parkir masuk …
Bukit Jaddhih;Negatif;Fasilotas masih minim, perlu pegembangan dengan sentuhan artistik agar lebih menarik wisatawan
Bukit Jaddhih;Negatif;Menurut aku cukup bagus untuk jalan2 ke sini. Cuman kitq ga tahu mana penarik karcis mana yg bukan. Kita naik mobil dicgat orang bawa karcis suruh bayar
Bukit Jaddhih;Negatif;Dateng pas weekend, buat survey. Bareng sama truk truk tambang dan jalannya rusak. Dibantu warga lokal buat nyari jalan yg agak mendingan. Sampe lokasi airnya surut karna emang gak ada ujan. Gersang banget dan lebih baik bawa masker. Debu dimana mana
Bukit Jaddhih;Negatif;Tempatnya bagus, sayang pas kesana pas musim kemarau jadi jalanan berdebu karena galian tambang kapur
Bukit Jaddhih;Negatif;Wisata gunung kapur yg indah...kalau musim kemarau panas banget
Bukit Jaddhih;Negatif;jalan masuk sekitar 300 m sangat bergelombang, air didanau kering pada saat musim kemarau
Bukit Jaddhih;Negatif;kesini H+2 hari raya Idul fitri 2023 jalan agak rusak tapi senang aja suasananya unik dan ramai suara petasan, knalpot anak2 motor khas jaddih bangkalan madura.
Bukit Jaddhih;Negatif;"Punya pengalaman yg ga mengenakan disini..
Yg pertama emg bnyak pungli..yg kedua pas ke kamar mandi didekat warung dikasih tau sm pemilik jangan lewat jalur utama bnyk begal disuruh lewat jln 1nya..eh …"
Bukit Jaddhih;Positif;Masuk gang pertama kali bayar seikhlasnya gitu ke warga. Lalu mau masuk areanya bayar lagi 20rb untuk mobil. Pas sudah di areanya yang luas, itu nanti kita bisa milih di area tertentu yang (sepertinya) dimiliki oleh beda-beda orang. Kalau …
Bukit Jaddhih;Negatif;"Merupakan daerah tambang batu kapur yang juga dimanfaatkan sebagai obyek wisata.
Pengelolaan oleh pemerintah masih sangat minim, akses jalannya sulit dan banyak …"
