lokasi;Sentimen;komentar
Goa Soekarno;Positif;Harus dikunjungi
Goa Soekarno;Positif;"Gua bentukan alam yang sangat menarik, indah, cantik, memukau.
Tak menyangka ruang di dalamnya begitu luas dan tidak pengap. Aliran udaranya"
Goa Soekarno;Positif;kagum karna Madura punya objek wisata yang gk kalah bagus dari goa maharani di lamongan yaitu goa soekarno, suasana di dalamnya sangat nyaman karna lumayan luas dan ada  cafe bar nya, menurut kabar  tempat kini bukan milin dinas setempat melainkan milik swasta, semoga kedepannya makin  diperbagus lagi
Goa Soekarno;Negatif;Yaahh lumayaann.. meski kurang puas.. semoga kedepannya makin menarik lagii..?????? …
Goa Soekarno;Positif;Sangat senang mengunjungi wisata ini, sangat cocok untuk para pecinta outbound, ada permainan tembak-tembakan seru banget
Goa Soekarno;Positif;Tempatnya bagus,mas guidenya juga ramah ramah
Goa Soekarno;Positif;"Bagus, keren, pokoknya beautifull dahhh  
Recomended babget wesaa  "
Goa Soekarno;Netral;Cahaya merupakan rahmat dari Tuhan untuk kita semua. Tanpa cahaya, siang dan malam hanyalah hitam tanpa keindahan.
Goa Soekarno;Negatif;Lahan parkir sama akses masuk belum oke. Kalau fasilitas wisata luar biasa.
Goa Soekarno;Negatif;"Amazing Place,
Menuju lokasi seperti via kebun/hutan, dari parkiran banyak semak belukar, masuk via mulut gua yg relatif sempit. …"
Goa Soekarno;Positif;Wisata baru yang eksotis di Pulau Garam.
Goa Soekarno;Netral;Kami menung kiriman foto kami panitia
Goa Soekarno;Positif;"Pernah kesana pas baru di buka, bagus.
Yang cari tempat wisata di Kab. Sampang, Goa soekarno perlu di pertimbangkan."
Goa Soekarno;Positif;Fasilitas oke banget.. pokoknya gak bakalan rugi kalau kesini
Goa Soekarno;Positif;Obyek wisata yg menarik perlu di rawat dengan baik lagi
Goa Soekarno;Positif;Mantab sebagai sejarah buat anak cucu kita  .?????? …
Goa Soekarno;Positif;Ternyata luas guanya, berkelok2
Goa Soekarno;Negatif;Tiket masuk mahal 15000/orang
Goa Soekarno;Positif;"Luar biasa gak rugi jauh"" dari Kalimantan"
Goa Soekarno;Netral;?????????? ???????????????? ?????? ?????? ???????? ?????????? ???????????? ?????? ?????? ?????? …
Goa Soekarno;Positif;Cocok untuk bersantai dengan keluarga
Goa Soekarno;Positif;Menakjubkan  . emejing ???????? …
Goa Soekarno;Positif;keren dan alami
Goa Soekarno;Positif;Sangat bgus
Goa Soekarno;Positif;Goax bgus bangetzzz
Goa Soekarno;Positif;Siip
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Goa Soekarno, salah satu tempat wisata di Sumenep, kota paling timur Pulau Madura. Sekitar satu jam dari pusat kota Sumenep dengan mobil. Harga tiket 15k per orang. Anda akan masuk ke dalam gua dan menemukan patung Bung Karno di tengah gua …
Goa Soekarno;Negatif;Panas dluar, dingin dd …
Goa Soekarno;Positif;Masjid Asmaul Husnah
Goa Soekarno;Positif;Sinol
Goa Soekarno;Positif;Tempat yang bagus untuk menghabiskan liburan. Mudah-mudahan akan lebih baik lagi
Goa Soekarno;Positif;Bagus banget pemandanganya
Goa Soekarno;Positif;Kereeennnnnnnnn
Goa Soekarno;Positif;Wisata yang cukup menarik di mana wisata Gua yang dibangun dengan sedemikian rupa desain secantik mungkin sehingga bisa menarik perhatian pengunjung. Tapi dulu waktu saya ke sana masih terbilang baru jadi ya masih ada yang belum selesai dan …
Goa Soekarno;Positif;Tempat sangat bagus untuk pariwisata keluarga fasilitas juga lumayan lengkap suasana alami yang memanjakan mata Dan akan mempunyai spot foto untuk kedepannya yang akan di datang. Jangan sampai tidak berkunjung bisa main paintball & ATV ???? …
Goa Soekarno;Positif;Keren tempatx, htm 15k, ada cafex, jg ada live musikx?? …
Goa Soekarno;Positif;Indahnya goa Soekarno d pasongsongan Sumenep madura.dkt rmh kami.spot foto keren.
Goa Soekarno;Positif;Keren banget berasa di alam lain goa suekarno nnti pengen kesana lagi ???? …
Goa Soekarno;Positif;Tempat ini indah cuman butuh pengembangan
Goa Soekarno;Positif;Keren falsilitasnya cukup mewadai so jalan-jalan kesini ga bakalan nyesel ?? …
Goa Soekarno;Positif;Keren dan rekomended banget tempatnya
Goa Soekarno;Positif;Cocok untuk rekreasi bersama keluarga
Goa Soekarno;Positif;Seru ada live musiknya  
Goa Soekarno;Positif;"Tempatnya bagus  
Sejuk   bikin tenang  
Fasilitas di sana juga memadai.. serta ada iringin musik di sana juga yang …"
Goa Soekarno;Positif;"Goa Soekarno 'GS' apik bener dan natural.

Lokasinya ada di Kecamatan Pasongsongan (dari Jalan Raya Pasongsongan masuk …"
Goa Soekarno;Negatif;Prospek sebagai destinasi wisata ke depan hanya perlu    kelengkapan yang menunjang lainnya shg betul2 memanjakan pengunjung contoh mungkin kolam renang atau outbond dll
Goa Soekarno;Positif;tempatnya bagus  
Goa Soekarno;Negatif;Blum siap utk di louncing masih butuh pembenahan luar dalam khususnya akses ke lokasi dan tata letak area parkir yg kurang rapi
Goa Soekarno;Positif;Merekomendasikan tapi tiket terlalu kemahalan.. dan jarak dari parkiran menuju goa sangat jauh sekali, namun  keindahan didalam goa soekarno mampu membalas semua kelelahan itu?? …
Goa Soekarno;Positif;Destinasi wisata yang sangat unik dan menakjubkan
Goa Soekarno;Positif;Instagramable.. HTM 15rb/orang dan parkir mobil 10rb , akses masuk sangat aman dan  mudah, kapasitas parkir mobil luas.
Goa Soekarno;Positif;Tempat wisata yg dikelola dengan bagus. Cafe didalam goa menyediakan kopi yg cukup baik.
Goa Soekarno;Positif;Goa yg alami,parkir,toilet udah komplit,Di dlm gua ada kafe dan live music.Top markotop gua berlantai 3
Goa Soekarno;Positif;Bagus tempatnya. Recommended
Goa Soekarno;Positif;Butuh waktu kira2 20memit buat sampe ke Goa Soekarno jika anda sdh ada di Pantai Salopeng Sumenep Madura. Good place  .nice place
Goa Soekarno;Negatif;Klo siang puanassss
Goa Soekarno;Positif;Bagus dan pelayanannya lumayan memuaskan, plusnya lagi ada fasilitas fotografer gratisnya
Goa Soekarno;Positif;Goa sukarno sangat bagus dengan panorama alam nya dan spot foto pokok nya the best
Goa Soekarno;Positif;Di lelola dg baik shg menarik minat wisata utk berkunjung
Goa Soekarno;Positif;Spot selfy dalam goa   Goanya ber AC.. Jd ga panas didalam  
Goa Soekarno;Positif;Tempat ini bersejarah   . Karena disini adalah dimana bung Karno bersemedi   Dan juga Sayyid   . Para ulama terdahulu 
Goa Soekarno;Positif;Saya suka tempat ini. Saya juga di beri kesempatan untuk nyanyi disitu. Pelayanannya baik
Goa Soekarno;Positif;Bagus tapi kurang alami
Goa Soekarno;Positif;Sport fotonya bagus2, dan terlihat alami
Goa Soekarno;Positif;Bagus untuk refresing di goa, penerangan cukup baik
Goa Soekarno;Positif;Bagus utk refreshing bersama keluarga
Goa Soekarno;Positif;Goa Sukarno Minang menyenangkan dan unik  tingkat lagi
Goa Soekarno;Positif;Tempat rekreasi goa batu kapur
Goa Soekarno;Positif;Spot fotonya keren banget
Goa Soekarno;Positif;Wisata goa yg ada di kota sumenep
Goa Soekarno;Positif;Krn suasananya menyenangkan
Goa Soekarno;Positif;Sangat bagus untuk dikunjungi
Goa Soekarno;Positif;Ini adalah waisata alam terbaik
Goa Soekarno;Positif;kopinya mantap
Goa Soekarno;Positif;Tempatnya nyaman
Goa Soekarno;Netral;Lewat aja
Goa Soekarno;Positif;Tempatnya bagus
Goa Soekarno;Negatif;Soap, ojeng, dibenahi lagi.
Goa Soekarno;Positif;Tempatnya artistik..
Goa Soekarno;Positif;Natural banget pokoknya
Goa Soekarno;Positif;Lumayan bagus
Goa Soekarno;Positif;Cari tempat xshotis
Goa Soekarno;Positif;Bagus banget
Goa Soekarno;Positif;Mantap  
Goa Soekarno;Positif;Mantap abis
Goa Soekarno;Positif;Tempat nyantai.
Goa Soekarno;Positif;Tempat yang sangat indah
Goa Soekarno;Positif;Mantap betul
Goa Soekarno;Positif;Indahhh???? …
Goa Soekarno;Positif;Mantul
Goa Soekarno;Positif;Fantastis
Goa Soekarno;Positif;Joss
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Bagusss
Goa Soekarno;Positif;Kerrend
Goa Soekarno;Positif;Tempat eksoti
Goa Soekarno;Positif;Bagus tempatnya, meski rasa guanya tidak lagi alami
Goa Soekarno;Netral;Wisata Gua Soekarno terletak di Desa Panaongan, Kecamatan Pasongsongan, Sumenep. Jaraknya hanya sekitar 40-45 menit dari pusat kota Sumenep. …
Goa Soekarno;Positif;Destinasi Wisata Baru berupa Goa Alam yg ada di Desa Panaongan Kec. Pasongsongan Sumenep,, Areal Sangat Luas,, Didalamnya Color Full,, Ada Cafe,, Pertunjukan Musik,, Banyak Spot Selfie yang Beraneka Warna Sorotan Lampu,, Tidak Terasa Pengap …
Goa Soekarno;Positif;Rekom bgt. Buat kalian yg mau refreshing. Tiket lumyn murah, tempatnya adem sejuk indah ke mata, apa lagi buat nongkrong cocok untuk yg pecinta musik d sana free acousticnya   Saran aj. Kalau bs makanannya jangan terlalu mahal yah kak..
Goa Soekarno;Positif;Yang menjadi bagus karna udah dikasi lampu warna warni didalam goa, ada cafe dan tempat makan juga. Karaoke juga bisa ?? …
Goa Soekarno;Positif;Goa Soekarno, Destinasi yg sangat rekomended saat berada di Sumenep, Jawa Timur. Dengan tidak merusak dan mempertahankan bentuk asli Goa yg alami ditambah polesan sedikit penerangan di setiap sudut Goa dg pancaran lampu warna warni, membuat …
Goa Soekarno;Positif;Tempat wisata berupa gua alam. Tempatnya bagus, guanya luas, cukup tertata dan terkelola dengan baik. Meskipun masih banyak kekurangan fasilitas yang perlu diperbaiki kedepannya. Tempat parkir, penataan pedagang, taman dan peneduh …
Goa Soekarno;Positif;Rame kalo saat liburan, lumayan bagus, tapi gk da wahana2 disini, hanya goa dan tempat2 Selfie.
Goa Soekarno;Positif;Yang bikin penasaran orang orang karena ini wisata baru yang namanya mencuat hanya dalam waktu tiga hari. Wow bangetttt    Di dalam instagramable banget. Wajib ke sana deh.
Goa Soekarno;Positif;Bersama keluarga takziyah ke Sumenep kembalinya berkunjung ke GOA SOEKARNO terletak di Pasongsongan Sumenep Madura
Goa Soekarno;Positif;Tempatnya lumayan bagus lah, cuma sayang gak ada penjelasan sejarah nya gimana   . Petugas nya juga ramah.
Goa Soekarno;Positif;Keren banget. Gak nyesel kesini. Harga tiketnya murah
Goa Soekarno;Positif;Tempat bagus, saran masih blum terdapat denah didalam venue dan fasilitas toilet perlu ditambah dalam venue, jdi ketika ad pengunjung mo ke toilet tidak perlu kluar venue
Goa Soekarno;Positif;Jalan menuju lokasi wisata dah OK , hanya tempat parkir blm paving , Parkir Mobil 5000 saja , untuk HTM per orang 15.000
Goa Soekarno;Negatif;Tempatnya kotor, di dalam tdk original lagi terkesan buatan
Goa Soekarno;Positif;Amazing baru pertama di madura, di dalam goa ada cafenya, suasana sangat mendukung dan tidak pengap bikin pingin berlama-lama berada di dalam goa
Goa Soekarno;Positif;tempatnya keren indah manis sejuk damai BAGI para jomblo segera merapat  
Goa Soekarno;Positif;Goa yg menawan, indah dan memanjakan mata yg memandang
Goa Soekarno;Positif;Mahakarya alam yg Indah.. Perlu sentuhan sdkt biar lbh mantul
Goa Soekarno;Positif;Sangat bagus, tarif parkir mobil cuma 5k dan sepeda motor cuma 3k.. tiket masuk murah meriah cuma 15k.. ada cafe yg menyediakan berbagai minuman dan makanan.. recomended lah buat pecinta adventure alam.. goanya sangat luas dan eksotis, di dalam suhunya juga sejuk. Overall its okay!!!
Goa Soekarno;Positif;Goa dilaunching 8 Juni 2019. Penemu Sukardi. Dinamakan Soekarno karena saat bertapa banyak menggunakan atribut Presiden RI pertama. Kondisi sudah dilengkapi dengan tata lampu, artistik, cafe dalam dan Pertunjukkan Musik. Suasana sejuk, …
Goa Soekarno;Positif;Goa yang masih terjaga keasliannya ini terletak tidak sekitar 5-10 KM dari Pantai Slopeng. Goa dengan spot Foto bagus ini memanjakkkan pengunjung yang suka mengabadikan Moment dengan berfoto. Rekomendasi buat kalian yang ingin mengambil spot foto yang bagus. Ada fasilitas Cafe di dalamnya.
Goa Soekarno;Positif;"Very good, tempat yg sangat indah.. recomended buat wisatawan.
Warga setempat juga sangat ramah dan sangat welcome terhadap wisatawan.
Tarif parkir murah meriah dan HTM juga sangat terjangkau.. …"
Goa Soekarno;Positif;Destinasi wisata baru di Sumenep, tempatnya bersih terawat, pengaturan cahaya dan lampunya bagus, cocok buat yg ongen jalan2 bareng keluarga tapi tidak mau jauh2. …
Goa Soekarno;Negatif;Banyak spot foto, tapi akses jalan ke lokasi sempit, jadi lebih baik bila bawa mobil yg bodi kecil saja biar klo papasan enak
Goa Soekarno;Positif;Tempatnya sangat bagus sekali..tp untuk fasilitas jln masuknya masih perlu perbaikan trus tempat istirahat untuk parkir driver blm ada
Goa Soekarno;Positif;Pernah berkunjung tempatnya oke bgt keren eksotis masih alami ada live musik cafenya keren nyaman harga cukup terjangkau jarang ada di tempat lain wajib datang gaes
Goa Soekarno;Positif;"Sebuah karya inovasi yg spektakuler dalam dunia pariwisata di sumenep,
anda akan takjub jika berada dalam goa soekarno dan akan merasa kerasan pingin berlama-lama menikmati suasana yg sangat mendukung untuk nyantai, …"
Goa Soekarno;Negatif;Berangkat nafsu pulang kecewa karena pas macet
Goa Soekarno;Positif;Goa yang bagus. Sejarah pemberian nama goa Soekarno Menurut warga setempat, ada seorang musafir yg tinggal disitu, dan musafir itu menyukai Soekarno shg banyak foto dan segala hal ttg Soekarno. Krn hal itu kemudian diberi nama goa Soekarno. Dan goa ini gada kaitannya dengan bung karno langsung
Goa Soekarno;Positif;Bagus tempatnya..
Goa Soekarno;Positif;Lokasi menarik, eksotis dan unik. Saran lebih banyak diberikan petunjuk arah menuju lokasi, agar Wisatawan tidak bingung.
Goa Soekarno;Positif;"Wisata baru dari kota Sumenep Madura
Kalau suka wisata plus tempat nongkrong nyemal nyemil tapi view keren tmpt ini cocok banget
Harga juga murah"
Goa Soekarno;Positif;"Lahan parkir luas namun perlu pengelaloaan  shg kesan masih kurang bagus  .
Saran petunjuk ke goa Soekarno perlu dibuat arah ke goa  .."
Goa Soekarno;Positif;Nyaman, adem, indah di pandang
Goa Soekarno;Positif;"Tempatnya Bagus Sekali Is the best deh Tapi Mushollanya di Renov lagi ya kakak.
Kan Biar Enak"
Goa Soekarno;Positif;Bagus goa soekarna ..yang mau ke wisata sumenep .khususnya pulau gili labak dan pantai 9..hub kami SUMENEP TOUR 86
Goa Soekarno;Positif;Tempat wisata favourite baru di sumenep, bersih dan sejuk. Jauh dari kesan kumuh dan pengap seperti wisata gua lainnya di indonesia
Goa Soekarno;Positif;Gua Soekarno sangat cocok sebagai tempat belajar. Bagi guru bisa mengajak siswanya untuk mengenal gua lebih dekat
Goa Soekarno;Negatif;"Sya merasa terdzolimi   akses masuk dari parenduwen ancur..
Mobil hmpir rusak..
Tiket masuk mahal.."
Goa Soekarno;Positif;Tempat wisata baru yg menakjubkan, refrensi bagi yg mau berwisata.
Goa Soekarno;Positif;Bikers Muslim gassss ke goa Soekarno
Goa Soekarno;Positif;Tempat menarik dan eksotis. Cocok untuk bersantai bersama keluarga.
Goa Soekarno;Positif;Tempat rekreasi yang penuh dengan keindahan, tempat ini juga cocok sebagai tujuan wisata
Goa Soekarno;Positif;Tempat nongkrong kekinian tpi tetap ya harus merawat keasrian ketika berkunjung ke tempat ini
Goa Soekarno;Positif;Salah satu objek wisata yang cocok buat mengisi liburan
Goa Soekarno;Positif;Destinasi wisata asli bukan hoax. Nikmatilah suasana ngopi bareng di Goa Soekarno.
Goa Soekarno;Positif;Penjaga barang titipan kurang bertanggung jawab atas barang-barang pengunjung yg dititipkan, kemaren barang saya sendiri yang hilang.
Goa Soekarno;Positif;Asyik
Goa Soekarno;Positif;KERREENNNN BANGET
Goa Soekarno;Positif;Bagus, ada cafe live music , indah
Goa Soekarno;Positif;Asyik. Luas. Enggak pengap. Menyenangkan. Refresh beneran..
Goa Soekarno;Positif;Lumayan bagus cuman kurang rame
Goa Soekarno;Positif;Sip
Goa Soekarno;Positif;Keindahan yang dibangun terlalu bertumpu pada lampu
Goa Soekarno;Positif;Mntap,pamandnagn bawah tanah yg istimewa  ..
Goa Soekarno;Positif;Kerenn
Goa Soekarno;Positif;Eksotisme guwa dengan renovasi modern ala kota Sumekar Sumenep
Goa Soekarno;Positif;Mantap   Tempat yang indah mempesona. Jelajah Goa Soekarno
Goa Soekarno;Positif;Lumayan lah buat liburan
Goa Soekarno;Positif;Menakjubkan
Goa Soekarno;Positif;Cocok bagi yang suka selfie
Goa Soekarno;Positif;Bagus juga menarik
Goa Soekarno;Negatif;Panas poolll rame loket satu
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;tempatnya baguss
Goa Soekarno;Positif;Tempatnya asri
Goa Soekarno;Positif;Smg smkin meningkatkan kwalitas
Goa Soekarno;Netral;Ada cafe jg ?? …
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Keren bgt
Goa Soekarno;Positif;"Tempat indah
Mmnghilangkan lekah"
Goa Soekarno;Positif;Bagus dan alami
Goa Soekarno;Positif;Bagus,menakjubkan
Goa Soekarno;Positif;Semoga Sumenep semakin jaya
Goa Soekarno;Positif;Indah pengen nyampek lagi
Goa Soekarno;Positif;Sangat bagus
Goa Soekarno;Positif;Sangat keren
Goa Soekarno;Negatif;Kurang nyaman
Goa Soekarno;Netral;Lumayan
Goa Soekarno;Positif;Kren
Goa Soekarno;Positif;Mantap pull
Goa Soekarno;Positif;Keren
Goa Soekarno;Positif;Indah
Goa Soekarno;Positif;Subhanallah
Goa Soekarno;Positif;Keren  ???????????? …
Goa Soekarno;Positif;Keren
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Tempat yang bagus untuk menghabiskan liburan. Mudah-mudahan akan lebih baik lain kali kita  …
Goa Soekarno;Positif;"Sungguh indah sekali tempatnya  ???????? Cara lain menikmati ciptaan Yang Maha Kuasa..
“Fa bi’ayyi aalaaa’i robbikuma tukadd …"
Goa Soekarno;Positif;gua yang benar-benar alami dengan cahaya mengelilingi Anda .. A …
Goa Soekarno;Positif;Tempat yang sangat spe …
Goa Soekarno;Positif;"perlu mempercantik lagi
salin Gua Permaisur …"
Goa Soekarno;Positif;Sangat bagus
Goa Soekarno;Positif;Sangat bagus
Goa Soekarno;Netral;Ke be 
Goa Soekarno;Positif;Sejarah
Goa Soekarno;Positif;Keren
Goa Soekarno;Positif;Luar biasah
Goa Soekarno;Positif;Fantastis
Goa Soekarno;Positif;direkomendasikan  …
Goa Soekarno;Positif;Cantik
Goa Soekarno;Positif;Kereeeeennn  ..?????? …
Goa Soekarno;Positif;Keren
Goa Soekarno;Positif;Luar biasa …
Goa Soekarno;Positif;Tempatnya bagus cocok buat bawa istri atau keluarga
Goa Soekarno;Negatif;Akhirnya berakhir
Goa Soekarno;Positif;Perlu pembenahan ketika masuk dan area ketika keluar dari Gua  cocok buat santai minum kopi dan mendengarkan alunan lagi  buatlah petunjuk arah menuju Gua dan  perlu penataan agar bisa menjadi pilihan wisata di Madura
Goa Soekarno;Positif;"Keren tempatnya??
Bagus untuj para keluarga atau anak muda buat poto poto.. Selfi oke bet …"
Goa Soekarno;Positif;Goanya cukup luas, seneng mbak” yg jaga cafe di dalam ramah bgt????? …
Goa Soekarno;Positif;sangat ideal bila ada pasangan
Goa Soekarno;Positif;Hidden gem! Dari luar hanya terlihat seperti perkebunan biasa, namun setelah masuk goa tidak menyangka akan seluas dan se bagus itu. Terdapat cafe dan tempat karaoke di dalamnya. Bahkan terdapat penjaga yang dapat mengiringi musik dengan petikan gitarnya
Goa Soekarno;Positif;Bagus tapi wahana bermainnya sudah tidak beroperasi lagi
Goa Soekarno;Positif;Amazing, salah satu destinasi wisata andalan Sumenep, Madura. Dengan harga tiket masuk yang murah, anda mendapat banyak benefit berupa pemandangan yang indah dan suasana yang nyaman di dalam goa. Ayooooo, jangan lewatkan kalau anda ke Sumenep.
Goa Soekarno;Negatif;Tiket masuk per orang 15 ribu, ada kafe di dalam goa, parkir kurang proper.
Goa Soekarno;Positif;gua nya bagus sekali
Goa Soekarno;Positif;Keren dan bagus juga cantik dalam nya indah
Goa Soekarno;Positif;Gua wisata terbaik di Madura..
Goa Soekarno;Positif;wo mantap
Goa Soekarno;Negatif;Kurang perawatan saja
Goa Soekarno;Positif;"Bagus dan bersih
Layanan bagus"
Goa Soekarno;Positif;Goanya Indah nan eksotik
Goa Soekarno;Positif;Bagus
Goa Soekarno;Positif;Goa cantik
Goa Soekarno;Positif;Hebat dan keren
Goa Soekarno;Netral;Penasaran
Goa Soekarno;Positif;Aman untuk anak-anak
