,Sentimen
694,Negatif
695,Positif
696,Negatif
697,Positif
698,Positif
699,Positif
700,Positif
701,Positif
702,Positif
703,Negatif
704,Positif
705,Positif
706,Negatif
707,Positif
708,Negatif
709,Positif
710,Positif
711,Positif
712,Positif
713,Positif
714,Positif
715,Positif
716,Positif
717,Positif
718,Positif
719,Positif
720,Positif
721,Positif
722,Positif
723,Positif
724,Positif
725,Positif
726,Positif
727,Negatif
728,Positif
729,Positif
730,Positif
731,Positif
732,Positif
733,Negatif
734,Negatif
735,Positif
736,Negatif
737,Negatif
738,Negatif
739,Negatif
740,Negatif
741,Negatif
742,Negatif
743, Negatif
744,Positif
745,Positif
746,Positif
747,Negatif
748,Negatif
749,Positif
750,Positif
751,Positif
752,Positif
753,Positif
754,Positif
755,Positif
756,Negatif
757,Positif
758,Negatif
759,Positif
760,Positif
761,Positif
762,Positif
763,Positif
764,Negatif
765,Positif
766,Positif
767,Positif
768,Positif
769,Positif
770,Positif
771,Positif
772,Positif
773,Positif
774,Positif
775,Positif
776,Positif
777,Positif
778,Positif
779,Positif
780,Positif
781,Positif
782,Positif
783,Positif
784,Positif
785,Positif
786,Positif
787,Positif
788,Positif
789,Positif
790,Positif
791,Positif
792,Positif
793,Positif
794,Positif
795,Positif
796,Positif
797,Positif
798,Positif
799,Positif
800,Positif
801,Positif
802,Positif
803,Positif
804,Positif
805,Positif
806,Positif
807,Positif
808,Positif
809,Positif
810,Positif
811,Positif
812,Positif
813,Positif
814,Positif
815,Positif
816,Positif
817,Positif
818,Positif
819,Positif
820,Negatif
821,Negatif
822,Positif
823,Negatif
824,Positif
825,Positif
826,Positif
827,Positif
828,Positif
829,Positif
830,Negatif
831,Negatif
832,Positif
833,Positif
834,Positif
835,Positif
836,Positif
837,Positif
838,Negatif
839,Positif
840,Positif
841,Positif
842,Positif
843,Positif
844,Positif
845,Positif
846,Positif
847,Negatif
848,Positif
849,Positif
850,Positif
851,Negatif
852,Positif
853,Positif
854,Positif
855,Positif
856,Positif
857,Positif
858,Positif
859,Negatif
860,Positif
861,Positif
862,Positif
863,Negatif
864,Negatif
865,Negatif
866,Negatif
867,Negatif
