	user	waktu	Sentimen	lokasi	komentar	clean	tokenize	slankword	stopword	stemming
0	Nadia Hayuningtyas	3 minggu lalu	Negatif	Bukit Jaddhih	"Semacam tebing kapur bekas galian tambang.
Jalan kesana lumayan tidak bagus, serasa off road. Cuacanya panasss banget. Jangan lupa pakai sunscreen dan sunglasses. …"	Semacam tebing kapur bekas galian tambangJalan kesana lumayan tidak bagus serasa off road Cuacanya panasss banget Jangan lupa pakai sunscreen dan sunglasses	['semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambangjalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'dan', 'sunglasses']	['semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambangjalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'dan', 'sunglasses']	['tebing', 'kapur', 'bekas', 'galian', 'tambangjalan', 'kesana', 'lumayan', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'lupa', 'pakai', 'sunscreen', 'sunglasses']	['tebing', 'kapur', 'bekas', 'gali', 'tambangjalan', 'kesana', 'lumayan', 'bagus', 'serasa', 'off', 'road', 'cuaca', 'panasss', 'banget', 'lupa', 'pakai', 'sunscreen', 'sunglasses']
1	Yanti Mei (Yanti)	3 bulan lalu	Positif	Bukit Jaddhih	Asli bagus banget, ga tau suka aja tempat yang alam banget kaya gini. Sayangnya akses jalannya yang minta ampun jelek banget. Belum aspal juga pas masuknya. Jadi berdebu banget. Terus harus bayar tiket 2x, buat masuk mobil bayar 20k. 	Asli bagus banget ga tau suka aja tempat yang alam banget kaya gini Sayangnya akses jalannya yang minta ampun jelek banget Belum aspal juga pas masuknya Jadi berdebu banget Terus harus bayar tiket x buat masuk mobil bayar k	['asli', 'bagus', 'banget', 'ga', 'tau', 'suka', 'aja', 'tempat', 'yang', 'alam', 'banget', 'kaya', 'gini', 'sayangnya', 'akses', 'jalannya', 'yang', 'minta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'pas', 'masuknya', 'jadi', 'berdebu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'x', 'buat', 'masuk', 'mobil', 'bayar', 'k']	['asli', 'bagus', 'banget', 'enggak', 'tau', 'suka', 'saja', 'tempat', 'yang', 'alam', 'banget', 'kayak', 'begini', 'sayangnya', 'akses', 'jalannya', 'yang', 'meminta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'pas', 'masuknya', 'jadi', 'berdebu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'kali', 'buat', 'masuk', 'mobil', 'bayar', 'ke']	['asli', 'bagus', 'banget', 'suka', 'alam', 'banget', 'kayak', 'sayangnya', 'akses', 'jalannya', 'ampun', 'jelek', 'banget', 'aspal', 'pas', 'masuknya', 'berdebu', 'banget', 'bayar', 'tiket', 'kali', 'masuk', 'mobil', 'bayar']	['asli', 'bagus', 'banget', 'suka', 'alam', 'banget', 'kayak', 'sayang', 'akses', 'jalan', 'ampun', 'jelek', 'banget', 'aspal', 'pas', 'masuk', 'debu', 'banget', 'bayar', 'tiket', 'kali', 'masuk', 'mobil', 'bayar']
2	Hadi Susanto (Mas Guru)	2 bulan lalu	Negatif	Bukit Jaddhih	Jadi salah satu alternatif wisata di pulau Madura. Bukit Jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi. Dibagian lain sdh berubah fungsi menjadi tempat wisata. Akses kesini lumayan sulit …	Jadi salah satu alternatif wisata di pulau Madura Bukit Jaddih merupakan tempat bekas galian tambang batu kapur yang sampai saat ini masih beroperasi Dibagian lain sdh berubah fungsi menjadi tempat wisata Akses kesini lumayan sulit	['jadi', 'salah', 'satu', 'alternatif', 'wisata', 'di', 'pulau', 'madura', 'bukit', 'jaddih', 'merupakan', 'tempat', 'bekas', 'galian', 'tambang', 'batu', 'kapur', 'yang', 'sampai', 'saat', 'ini', 'masih', 'beroperasi', 'dibagian', 'lain', 'sdh', 'berubah', 'fungsi', 'menjadi', 'tempat', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']	['jadi', 'salah', 'satu', 'alternatif', 'wisata', 'di', 'pulau', 'madura', 'bukit', 'jaddih', 'merupakan', 'tempat', 'bekas', 'galian', 'tambang', 'batu', 'kapur', 'yang', 'sampai', 'saat', 'ini', 'masih', 'beroperasi', 'dibagian', 'lain', 'sudah', 'berubah', 'fungsi', 'menjadi', 'tempat', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']	['salah', 'alternatif', 'wisata', 'pulau', 'madura', 'bukit', 'jaddih', 'bekas', 'galian', 'tambang', 'batu', 'kapur', 'beroperasi', 'dibagian', 'berubah', 'fungsi', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']	['salah', 'alternatif', 'wisata', 'pulau', 'madura', 'bukit', 'jaddih', 'bekas', 'gali', 'tambang', 'batu', 'kapur', 'operasi', 'bagi', 'ubah', 'fungsi', 'wisata', 'akses', 'kesini', 'lumayan', 'sulit']
3	funansia donis	4 bulan lalu	Positif	Bukit Jaddhih	Kemarin ke bukit jaddhih karena kebetulan mau jalan’ ke jembatan Suramadu. Pertama lihat foto’ dan ulasan di maps sempat buat kurang yakin ke bukit jaddihih, tetapi pada saat ke sana sangatlah diluar eksepetasi.	Kemarin ke bukit jaddhih karena kebetulan mau jalan ke jembatan Suramadu Pertama lihat foto dan ulasan di maps sempat buat kurang yakin ke bukit jaddihih tetapi pada saat ke sana sangatlah diluar eksepetasi	['kemarin', 'ke', 'bukit', 'jaddhih', 'karena', 'kebetulan', 'mau', 'jalan', 'ke', 'jembatan', 'suramadu', 'pertama', 'lihat', 'foto', 'dan', 'ulasan', 'di', 'maps', 'sempat', 'buat', 'kurang', 'yakin', 'ke', 'bukit', 'jaddihih', 'tetapi', 'pada', 'saat', 'ke', 'sana', 'sangatlah', 'diluar', 'eksepetasi']	['kemarin', 'ke', 'bukit', 'jaddhih', 'karena', 'kebetulan', 'mau', 'jalan', 'ke', 'jembatan', 'suramadu', 'pertama', 'lihat', 'foto', 'dan', 'ulasan', 'di', 'maps', 'sempat', 'buat', 'kurang', 'yakin', 'ke', 'bukit', 'jaddihih', 'tetapi', 'pada', 'saat', 'ke', 'sana', 'sangatlah', 'diluar', 'eksepetasi']	['kemarin', 'bukit', 'jaddhih', 'jalan', 'jembatan', 'suramadu', 'lihat', 'foto', 'ulasan', 'maps', 'bukit', 'jaddihih', 'diluar', 'eksepetasi']	['kemarin', 'bukit', 'jaddhih', 'jalan', 'jembatan', 'suramadu', 'lihat', 'foto', 'ulas', 'maps', 'bukit', 'jaddihih', 'luar', 'eksepetasi']
4	Ditha Aprillia	2 bulan lalu	Negatif	Bukit Jaddhih	Biaya masuk mobil 5rb, semoga next ada papan petunjuk jalan ke wisata (soalnya kalo pake maps diputer2in) & jalan kesana lebih baik. Krn mobil kecil uda berusaha menghindar tetep gasruk, alhasil cat mobil di bemper depan ngelupas	Biaya masuk mobil rb semoga next ada papan petunjuk jalan ke wisata soalnya kalo pake maps diputerin jalan kesana lebih baik Krn mobil kecil uda berusaha menghindar tetep gasruk alhasil cat mobil di bemper depan ngelupas	['biaya', 'masuk', 'mobil', 'rb', 'semoga', 'next', 'ada', 'papan', 'petunjuk', 'jalan', 'ke', 'wisata', 'soalnya', 'kalo', 'pake', 'maps', 'diputerin', 'jalan', 'kesana', 'lebih', 'baik', 'krn', 'mobil', 'kecil', 'uda', 'berusaha', 'menghindar', 'tetep', 'gasruk', 'alhasil', 'cat', 'mobil', 'di', 'bemper', 'depan', 'ngelupas']	['biaya', 'masuk', 'mobil', 'ribu', 'semoga', 'next', 'ada', 'papan', 'petunjuk', 'jalan', 'ke', 'wisata', 'soalnya', 'kalo', 'pakai', 'maps', 'diputerin', 'jalan', 'kesana', 'lebih', 'baik', 'karena', 'mobil', 'kecil', 'sudah', 'berusaha', 'menghindar', 'tetap', 'gasruk', 'alhasil', 'cat', 'mobil', 'di', 'bemper', 'depan', 'ngelupas']	['biaya', 'masuk', 'mobil', 'ribu', 'semoga', 'next', 'papan', 'petunjuk', 'jalan', 'wisata', 'pakai', 'maps', 'diputerin', 'jalan', 'kesana', 'mobil', 'berusaha', 'menghindar', 'gasruk', 'alhasil', 'cat', 'mobil', 'bemper', 'ngelupas']	['biaya', 'masuk', 'mobil', 'ribu', 'moga', 'next', 'papan', 'tunjuk', 'jalan', 'wisata', 'pakai', 'maps', 'diputerin', 'jalan', 'kesana', 'mobil', 'usaha', 'hindar', 'gasruk', 'alhasil', 'cat', 'mobil', 'bemper', 'ngelupas']
5	Affandi Fauzan Syawal	3 bulan lalu	Positif	Bukit Jaddhih	Masuk uang yg punya jalan tambang 20rb, masuk ke parkir 5rb per org. View bagus bngt, tambang batu kapur aktif.	Masuk uang yg punya jalan tambang rb masuk ke parkir rb per org View bagus bngt tambang batu kapur aktif	['masuk', 'uang', 'yg', 'punya', 'jalan', 'tambang', 'rb', 'masuk', 'ke', 'parkir', 'rb', 'per', 'org', 'view', 'bagus', 'bngt', 'tambang', 'batu', 'kapur', 'aktif']	['masuk', 'uang', 'yang', 'punya', 'jalan', 'tambang', 'ribu', 'masuk', 'ke', 'parkir', 'ribu', 'per', 'orang', 'view', 'bagus', 'banget', 'tambang', 'batu', 'kapur', 'aktif']	['masuk', 'uang', 'jalan', 'tambang', 'ribu', 'masuk', 'parkir', 'ribu', 'orang', 'view', 'bagus', 'banget', 'tambang', 'batu', 'kapur', 'aktif']	['masuk', 'uang', 'jalan', 'tambang', 'ribu', 'masuk', 'parkir', 'ribu', 'orang', 'view', 'bagus', 'banget', 'tambang', 'batu', 'kapur', 'aktif']
6	Dewy Antriani	5 bulan lalu	Negatif	Bukit Jaddhih	Pertama kali kesini, pakai google map. Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri. Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet, jalannya juga belum terlalu baik masih berlubang. Parkir masuk …	Pertama kali kesini pakai google map Kalau dari jembatan suramadu nanti arahnya perempatan terus ke kiri Nanti jalannya agak kecil sih kalau naik mobil papasan agak mepet jalannya juga belum terlalu baik masih berlubang Parkir masuk	['pertama', 'kali', 'kesini', 'pakai', 'google', 'map', 'kalau', 'dari', 'jembatan', 'suramadu', 'nanti', 'arahnya', 'perempatan', 'terus', 'ke', 'kiri', 'nanti', 'jalannya', 'agak', 'kecil', 'sih', 'kalau', 'naik', 'mobil', 'papasan', 'agak', 'mepet', 'jalannya', 'juga', 'belum', 'terlalu', 'baik', 'masih', 'berlubang', 'parkir', 'masuk']	['pertama', 'kali', 'kesini', 'pakai', 'google', 'map', 'kalau', 'dari', 'jembatan', 'suramadu', 'nanti', 'arahnya', 'perempatan', 'terus', 'ke', 'kiri', 'nanti', 'jalannya', 'agak', 'kecil', 'sih', 'kalau', 'naik', 'mobil', 'papasan', 'agak', 'mepet', 'jalannya', 'juga', 'belum', 'terlalu', 'baik', 'masih', 'berlubang', 'parkir', 'masuk']	['kali', 'kesini', 'pakai', 'google', 'map', 'jembatan', 'suramadu', 'arahnya', 'perempatan', 'kiri', 'jalannya', 'mobil', 'papasan', 'mepet', 'jalannya', 'berlubang', 'parkir', 'masuk']	['kali', 'kesini', 'pakai', 'google', 'map', 'jembatan', 'suramadu', 'arah', 'empat', 'kiri', 'jalan', 'mobil', 'papas', 'mepet', 'jalan', 'lubang', 'parkir', 'masuk']
7	Aulia Aisya Cahyarani	sebulan lalu	Positif	Bukit Jaddhih	salah satu wisata di madura yg wajib bgt dikunjungi. nanti kalian bakal disuguhi dgn pemandangan batu kapur yg cantikkk bgt warna putih gini, ada danaunya jg loh, cakep bgt klo buat foto2. tapi medan utk kesini agak jelek karena banyak bebatuan jalannya. yg mau liburan ke madura, coba kesini deh guys?? …	salah satu wisata di madura yg wajib bgt dikunjungi nanti kalian bakal disuguhi dgn pemandangan batu kapur yg cantikkk bgt warna putih gini ada danaunya jg loh cakep bgt klo buat foto tapi medan utk kesini agak jelek karena banyak bebatuan jalannya yg mau liburan ke madura coba kesini deh guys	['salah', 'satu', 'wisata', 'di', 'madura', 'yg', 'wajib', 'bgt', 'dikunjungi', 'nanti', 'kalian', 'bakal', 'disuguhi', 'dgn', 'pemandangan', 'batu', 'kapur', 'yg', 'cantikkk', 'bgt', 'warna', 'putih', 'gini', 'ada', 'danaunya', 'jg', 'loh', 'cakep', 'bgt', 'klo', 'buat', 'foto', 'tapi', 'medan', 'utk', 'kesini', 'agak', 'jelek', 'karena', 'banyak', 'bebatuan', 'jalannya', 'yg', 'mau', 'liburan', 'ke', 'madura', 'coba', 'kesini', 'deh', 'guys']	['salah', 'satu', 'wisata', 'di', 'madura', 'yang', 'wajib', 'banget', 'dikunjungi', 'nanti', 'kalian', 'bakal', 'disuguhi', 'dengan', 'pemandangan', 'batu', 'kapur', 'yang', 'cantik', 'banget', 'warna', 'putih', 'begini', 'ada', 'danaunya', 'juga', 'loh', 'cakep', 'banget', 'kalo', 'buat', 'foto', 'tapi', 'medan', 'untuk', 'kesini', 'agak', 'jelek', 'karena', 'banyak', 'bebatuan', 'jalannya', 'yang', 'mau', 'liburan', 'ke', 'madura', 'coba', 'kesini', 'deh', 'guys']	['salah', 'wisata', 'madura', 'wajib', 'banget', 'dikunjungi', 'disuguhi', 'pemandangan', 'batu', 'kapur', 'cantik', 'banget', 'warna', 'putih', 'danaunya', 'cakep', 'banget', 'foto', 'medan', 'kesini', 'jelek', 'bebatuan', 'jalannya', 'liburan', 'madura', 'coba', 'kesini', 'deh', 'guys']	['salah', 'wisata', 'madura', 'wajib', 'banget', 'kunjung', 'suguh', 'pandang', 'batu', 'kapur', 'cantik', 'banget', 'warna', 'putih', 'danau', 'cakep', 'banget', 'foto', 'medan', 'kesini', 'jelek', 'bebatuan', 'jalan', 'libur', 'madura', 'coba', 'kesini', 'deh', 'guys']
8	Sulaiman Rhosyid	5 bulan lalu	Positif	Bukit Jaddhih	Minggu kemarin ngantar anak-anak wisata... Wisata ini diadakan oleh TPQ Al Firdaus tempat anak pertama belajar Tahfidz... …	Minggu kemarin ngantar anakanak wisata Wisata ini diadakan oleh TPQ Al Firdaus tempat anak pertama belajar Tahfidz	['minggu', 'kemarin', 'ngantar', 'anakanak', 'wisata', 'wisata', 'ini', 'diadakan', 'oleh', 'tpq', 'al', 'firdaus', 'tempat', 'anak', 'pertama', 'belajar', 'tahfidz']	['minggu', 'kemarin', 'mengantar', 'anakanak', 'wisata', 'wisata', 'ini', 'diadakan', 'oleh', 'tpq', 'al', 'firdaus', 'tempat', 'anak', 'pertama', 'belajar', 'tahfidz']	['minggu', 'kemarin', 'mengantar', 'anakanak', 'wisata', 'wisata', 'diadakan', 'tpq', 'al', 'firdaus', 'anak', 'belajar', 'tahfidz']	['minggu', 'kemarin', 'antar', 'anakanak', 'wisata', 'wisata', 'ada', 'tpq', 'al', 'firdaus', 'anak', 'ajar', 'tahfidz']
9	om_jum	2 bulan lalu	Positif	Bukit Jaddhih	Tebing² buatan yg sangat menakjubkan,recomend banget untuk dikunjungi.akses sangat mudah sekitar 40 menit dari Jembatan Suramadu.	Tebing buatan yg sangat menakjubkanrecomend banget untuk dikunjungiakses sangat mudah sekitar  menit dari Jembatan Suramadu	['tebing', 'buatan', 'yg', 'sangat', 'menakjubkanrecomend', 'banget', 'untuk', 'dikunjungiakses', 'sangat', 'mudah', 'sekitar', 'menit', 'dari', 'jembatan', 'suramadu']	['tebing', 'buatan', 'yang', 'sangat', 'menakjubkanrecomend', 'banget', 'untuk', 'dikunjungiakses', 'sangat', 'mudah', 'sekitar', 'menit', 'dari', 'jembatan', 'suramadu']	['tebing', 'buatan', 'menakjubkanrecomend', 'banget', 'dikunjungiakses', 'mudah', 'menit', 'jembatan', 'suramadu']	['tebing', 'buat', 'menakjubkanrecomend', 'banget', 'dikunjungiakses', 'mudah', 'menit', 'jembatan', 'suramadu']
