,Sentimen
781,Positif
782,Positif
783,Positif
784,Positif
785,Positif
786,Positif
787,Negatif
788,Positif
789,Negatif
790,Positif
791,Positif
792,Positif
793,Negatif
794,Positif
795,Positif
796,Positif
797,Positif
798,Positif
799,Positif
800,Negatif
801,Positif
802,Negatif
803,Positif
804,Positif
805,Positif
806,Negatif
807,Positif
808,Positif
809,Positif
810,Negatif
811,Negatif
812,Positif
813,Positif
814,Negatif
815,Negatif
816,Positif
817,Negatif
818,Positif
819,Positif
820,Negatif
821,Positif
822,Positif
823,Positif
824,Positif
825,Positif
826,Positif
827,Positif
828,Positif
829,Positif
830,Positif
831,Positif
832,Positif
833,Negatif
834,Positif
835,Positif
836,Positif
837,Positif
838,Positif
839,Positif
840,Positif
841,Negatif
842,Positif
843,Negatif
844,Positif
845,Positif
846,Positif
847,Positif
848,Positif
849,Negatif
850,Positif
851,Positif
852,Positif
853,Positif
854,Positif
855,Positif
856,Positif
857,Positif
858,Positif
859,Negatif
860,Positif
861,Positif
862,Negatif
863,Positif
864,Positif
865,Negatif
866,Positif
867,Positif
868,Positif
869,Positif
870,Positif
871,Positif
872,Positif
873,Positif
874,Positif
875,Negatif
876,Positif
877,Negatif
878,Positif
879,Negatif
880,Positif
881,Positif
882,Negatif
883,Positif
884,Positif
885,Positif
886,Positif
887,Negatif
888,Negatif
889,Negatif
890,Positif
891,Positif
892,Negatif
893,Positif
894,Positif
895,Positif
896,Positif
897,Positif
898,Positif
899,Positif
900,Positif
901,Positif
902,Positif
903,Positif
904,Positif
905,Negatif
906,Positif
907,Positif
908,Positif
909,Negatif
910,Positif
911,Positif
912,Positif
913,Positif
914,Negatif
915,Positif
916,Positif
917,Negatif
918,Positif
919,Negatif
920,Positif
921,Positif
922,Positif
923,Positif
924,Positif
925,Positif
926,Positif
927,Positif
928,Negatif
929,Positif
930,Positif
931,Positif
932,Positif
933,Negatif
934,Negatif
935,Positif
936,Positif
937,Positif
938,Positif
939,Positif
940,Positif
941,Positif
942,Positif
943,Positif
944,Positif
945,Positif
946,Positif
947,Positif
948,Positif
949,Positif
950,Negatif
951,Positif
952,Positif
953,Positif
954,Positif
955,Negatif
956,Negatif
957,Positif
958,Negatif
959,Negatif
960,Negatif
961,Negatif
962,Positif
963,Negatif
964,Positif
965,Positif
966,Positif
967,Positif
968,Positif
969,Positif
970,Negatif
971,Positif
972,Positif
973,Negatif
974,Positif
975,Negatif
976,Positif
