,Sentimen
0,Negatif
1,Positif
2,Negatif
3,Positif
4,Negatif
5,Positif
6,Negatif
7,Positif
8,Positif
9,Positif
10,Positif
11,Negatif
12,Positif
13,Positif
14,Positif
15,Positif
16,Positif
17,Positif
18,Positif
19,Negatif
20,Positif
21,Positif
22,Positif
23,Positif
24,Positif
25,Positif
26,Negatif
27,Positif
28,Positif
29,Positif
30,Positif
31,Positif
32,Positif
33,Positif
34,Negatif
35,Negatif
36,Positif
37,neb
38,Positif
39,Negatif
40,Positif
41,Positif
42,Positif
43,Negatif
44,Negatif
45,Positif
46,Positif
47,Positif
48,Positif
49,Positif
50,Positif
51,Positif
52,Negatif
53,Positif
54,Positif
55,Positif
56,Negatif
57,Positif
58,Negatif
59,Negatif
60,Positif
61,Positif
62,Positif
63,Positif
64,Positif
65,Positif
66,Positif
67,Negatif
68,Positif
69,Positif
70,Negatif
71,Negatif
72,Positif
73,Positif
74,Positif
75,Positif
76,Positif
77,Negatif
78,Positif
79,Negatif
80,Positif
81,Positif
82,Positif
83,Positif
84,Positif
85,Positif
86,Positif
87,Negatif
88,Positif
89,Negatif
90,Positif
91,Negatif
92,Positif
93,Negatif
94,Negatif
95,Positif
96,Positif
97,Positif
98,Positif
99,Positif
100,Positif
101,Positif
102,Positif
103,Positif
104,Negatif
105,Positif
106,Positif
107,Positif
108,Positif
109,Positif
110,Positif
111,Positif
112,Positif
113,Positif
114,Positif
115,Positif
116,Positif
117,Positif
118,Positif
119,Positif
120,Positif
121,Negatif
122,Positif
123,Positif
124,Positif
125,Positif
126,Positif
127,Positif
128,Positif
129,Negatif
130,Negatif
131,Positif
132,Negatif
133,Positif
134,Positif
135,Positif
136,Positif
137,Positif
138,Positif
139,Positif
140,Positif
141,Negatif
142,Positif
143,Positif
144,Positif
145,Positif
146,Positif
147,Positif
148,Positif
149,Positif
150,Negatif
151,Positif
152,Positif
153,Negatif
154,Positif
155,Positif
156,Positif
157,Positif
158,Positif
159,Positif
160,Positif
161,Positif
162,Positif
163,Positif
164,Positif
165,Positif
166,Positif
167,Positif
168,Positif
169,Positif
170,Positif
171,Negatif
172,Positif
173,Positif
174,Positif
175,Positif
176,Negatif
177,Positif
178,Positif
179,Positif
180,Negatif
181,Positif
182,Positif
183,Positif
184,Positif
185,Positif
186,Negatif
187,Positif
188,Positif
189,Positif
190,Negatif
191,Positif
192,Positif
193,Positif
194,Positif
195,Positif
196,Positif
197,Positif
198,Positif
199,Positif
200,Positif
201,Positif
202,Positif
203,Positif
204,Positif
205,Positif
206,Positif
207,Positif
208,Positif
209,Positif
210,Positif
211,Positif
212,Positif
213,Negatif
214,Positif
215,Positif
216,neh
