	index	user	waktu	Sentimen	lokasi	komentar	clean	tokenize	slankword	stopword	stemming
0	0	Rizky Ramadhana	2 minggu lalu	Positif	pantai sembilan	Pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan , biaya parkir 10ribu terus nyebrang per orang sekitar 20rb kalo engga 10rb (lupa) dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget . Awas makelar bos hahahaa	Pertama ketempat ini bawa mobil dari surabaya ke sumenep parkir di pemukiman warga yg mengarah ke pantai sembilan biaya parkir ribu terus nyebrang per orang sekitar rb kalo engga rb lupa dan jangan lupa bawa pancing lautnya bagus banget dan jangan lupa bawa sunblok soalnya panas banget Awas makelar bos hahahaa	['pertama', 'ketempat', 'ini', 'bawa', 'mobil', 'dari', 'surabaya', 'ke', 'sumenep', 'parkir', 'di', 'pemukiman', 'warga', 'yg', 'mengarah', 'ke', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'terus', 'nyebrang', 'per', 'orang', 'sekitar', 'rb', 'kalo', 'engga', 'rb', 'lupa', 'dan', 'jangan', 'lupa', 'bawa', 'pancing', 'lautnya', 'bagus', 'banget', 'dan', 'jangan', 'lupa', 'bawa', 'sunblok', 'soalnya', 'panas', 'banget', 'awas', 'makelar', 'bos', 'hahahaa']	['pertama', 'ketempat', 'ini', 'bawa', 'mobil', 'dari', 'surabaya', 'ke', 'sumenep', 'parkir', 'di', 'pemukiman', 'warga', 'yang', 'mengarah', 'ke', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'terus', 'nyebrang', 'per', 'orang', 'sekitar', 'ribu', 'kalo', 'enggak', 'ribu', 'lupa', 'dan', 'jangan', 'lupa', 'bawa', 'pancing', 'lautnya', 'bagus', 'banget', 'dan', 'jangan', 'lupa', 'bawa', 'sunblok', 'soalnya', 'panas', 'banget', 'awas', 'makelar', 'bos', 'hahahaa']	['ketempat', 'bawa', 'mobil', 'surabaya', 'sumenep', 'parkir', 'pemukiman', 'warga', 'mengarah', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'nyebrang', 'orang', 'ribu', 'ribu', 'lupa', 'lupa', 'bawa', 'pancing', 'lautnya', 'bagus', 'banget', 'lupa', 'bawa', 'sunblok', 'panas', 'banget', 'awas', 'makelar', 'bos', 'hahahaa']	['tempat', 'bawa', 'mobil', 'surabaya', 'sumenep', 'parkir', 'mukim', 'warga', 'arah', 'pantai', 'sembilan', 'biaya', 'parkir', 'ribu', 'nyebrang', 'orang', 'ribu', 'ribu', 'lupa', 'lupa', 'bawa', 'pancing', 'laut', 'bagus', 'banget', 'lupa', 'bawa', 'sunblok', 'panas', 'banget', 'awas', 'makelar', 'bos', 'hahahaa']
1	1	Alfin Zayn	sebulan lalu	Positif	pantai sembilan	"Pantai nya bagus, air nya jernih dan bersih, asri dan alami.
Nyaman buat bersantai atau liburan bersama keluarga ataupun teman²..."	Pantai nya bagus air nya jernih dan bersih asri dan alamiNyaman buat bersantai atau liburan bersama keluarga ataupun teman	['pantai', 'nya', 'bagus', 'air', 'nya', 'jernih', 'dan', 'bersih', 'asri', 'dan', 'alaminyaman', 'buat', 'bersantai', 'atau', 'liburan', 'bersama', 'keluarga', 'ataupun', 'teman']	['pantai', 'nya', 'bagus', 'air', 'nya', 'jernih', 'dan', 'bersih', 'asri', 'dan', 'alaminyaman', 'buat', 'bersantai', 'atau', 'liburan', 'bersama', 'keluarga', 'ataupun', 'teman']	['pantai', 'bagus', 'air', 'jernih', 'bersih', 'asri', 'alaminyaman', 'bersantai', 'liburan', 'keluarga', 'teman']	['pantai', 'bagus', 'air', 'jernih', 'bersih', 'asri', 'alaminyaman', 'santa', 'libur', 'keluarga', 'teman']
2	2	Nurimama Tuss	sebulan lalu	Positif	pantai sembilan	Pantai nya bagus, kalo weekday sepi. Enak berasa pantai pribadi. Cuman akses nya belom bagus. Buat yang traveling individu harus nunggu perahu nya penuh baru berangkat.jadi gada jam keberangkatan. Bisa nunggu lama di pelabuhan nya	Pantai nya bagus kalo weekday sepi Enak berasa pantai pribadi Cuman akses nya belom bagus Buat yang traveling individu harus nunggu perahu nya penuh baru berangkatjadi gada jam keberangkatan Bisa nunggu lama di pelabuhan nya	['pantai', 'nya', 'bagus', 'kalo', 'weekday', 'sepi', 'enak', 'berasa', 'pantai', 'pribadi', 'cuman', 'akses', 'nya', 'belom', 'bagus', 'buat', 'yang', 'traveling', 'individu', 'harus', 'nunggu', 'perahu', 'nya', 'penuh', 'baru', 'berangkatjadi', 'gada', 'jam', 'keberangkatan', 'bisa', 'nunggu', 'lama', 'di', 'pelabuhan', 'nya']	['pantai', 'nya', 'bagus', 'kalo', 'weekday', 'sepi', 'enak', 'berasa', 'pantai', 'pribadi', 'cuman', 'akses', 'nya', 'belum', 'bagus', 'buat', 'yang', 'traveling', 'individu', 'harus', 'menunggu', 'perahu', 'nya', 'penuh', 'baru', 'berangkatjadi', 'enggak ada', 'jam', 'keberangkatan', 'bisa', 'menunggu', 'lama', 'di', 'pelabuhan', 'nya']	['pantai', 'bagus', 'weekday', 'sepi', 'enak', 'berasa', 'pantai', 'pribadi', 'cuman', 'akses', 'bagus', 'traveling', 'individu', 'menunggu', 'perahu', 'penuh', 'berangkatjadi', 'enggak ada', 'jam', 'keberangkatan', 'menunggu', 'pelabuhan']	['pantai', 'bagus', 'weekday', 'sepi', 'enak', 'asa', 'pantai', 'pribadi', 'cuman', 'akses', 'bagus', 'traveling', 'individu', 'tunggu', 'perahu', 'penuh', 'berangkatjadi', 'enggak ada', 'jam', 'berangkat', 'tunggu', 'labuh']
3	3	dimi ismanto	5 bulan lalu	Positif	pantai sembilan	Pantai ini indah sekali terletak di Pulau Gili Genting . Tenang. Dan cukup bersih...untuk mencapainya...perlu menyeberang dengan kapal dari pelabuhan Tanjung Sumenep. …	Pantai ini indah sekali terletak di Pulau Gili Genting Tenang Dan cukup bersihuntuk mencapainyaperlu menyeberang dengan kapal dari pelabuhan Tanjung Sumenep	['pantai', 'ini', 'indah', 'sekali', 'terletak', 'di', 'pulau', 'gili', 'genting', 'tenang', 'dan', 'cukup', 'bersihuntuk', 'mencapainyaperlu', 'menyeberang', 'dengan', 'kapal', 'dari', 'pelabuhan', 'tanjung', 'sumenep']	['pantai', 'ini', 'indah', 'sekali', 'terletak', 'di', 'pulau', 'gili', 'genting', 'tenang', 'dan', 'cukup', 'bersihuntuk', 'mencapainyaperlu', 'menyeberang', 'dengan', 'kapal', 'dari', 'pelabuhan', 'tanjung', 'sumenep']	['pantai', 'indah', 'terletak', 'pulau', 'gili', 'genting', 'tenang', 'bersihuntuk', 'mencapainyaperlu', 'menyeberang', 'kapal', 'pelabuhan', 'tanjung', 'sumenep']	['pantai', 'indah', 'letak', 'pulau', 'gili', 'genting', 'tenang', 'bersihuntuk', 'mencapainyaperlu', 'seberang', 'kapal', 'labuh', 'tanjung', 'sumenep']
4	4	Aina Lee	sebulan lalu	Positif	pantai sembilan	Pantainya bersih, tenang cocok buat healing menghindari keramaian kota.	Pantainya bersih tenang cocok buat healing menghindari keramaian kota	['pantainya', 'bersih', 'tenang', 'cocok', 'buat', 'healing', 'menghindari', 'keramaian', 'kota']	['pantainya', 'bersih', 'tenang', 'cocok', 'buat', 'healing', 'menghindari', 'keramaian', 'kota']	['pantainya', 'bersih', 'tenang', 'cocok', 'healing', 'menghindari', 'keramaian', 'kota']	['pantai', 'bersih', 'tenang', 'cocok', 'healing', 'hindar', 'ramai', 'kota']
5	5	Dewi Nindita	7 bulan lalu	Positif	pantai sembilan	Sumenep menjadi salahsatu Kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati, salah satunya gili genting , pantai sembilan. Kalo dr sumenepnya nyebrang 30 menit aja. Ohiya , perahunya cuman bisa angkut manusia	Sumenep menjadi salahsatu Kabupaten yg mempunyai tempat wisata yg luar biasa indah untuk dinikmati salah satunya gili genting pantai sembilan Kalo dr sumenepnya nyebrang  menit aja Ohiya perahunya cuman bisa angkut manusia	['sumenep', 'menjadi', 'salahsatu', 'kabupaten', 'yg', 'mempunyai', 'tempat', 'wisata', 'yg', 'luar', 'biasa', 'indah', 'untuk', 'dinikmati', 'salah', 'satunya', 'gili', 'genting', 'pantai', 'sembilan', 'kalo', 'dr', 'sumenepnya', 'nyebrang', 'menit', 'aja', 'ohiya', 'perahunya', 'cuman', 'bisa', 'angkut', 'manusia']	['sumenep', 'menjadi', 'salahsatu', 'kabupaten', 'yang', 'mempunyai', 'tempat', 'wisata', 'yang', 'luar', 'biasa', 'indah', 'untuk', 'dinikmati', 'salah', 'satunya', 'gili', 'genting', 'pantai', 'sembilan', 'kalo', 'dari', 'sumenepnya', 'nyebrang', 'menit', 'saja', 'ohiya', 'perahunya', 'cuman', 'bisa', 'angkut', 'manusia']	['sumenep', 'salahsatu', 'kabupaten', 'wisata', 'indah', 'dinikmati', 'salah', 'satunya', 'gili', 'genting', 'pantai', 'sembilan', 'sumenepnya', 'nyebrang', 'menit', 'ohiya', 'perahunya', 'cuman', 'angkut', 'manusia']	['sumenep', 'salahsatu', 'kabupaten', 'wisata', 'indah', 'nikmat', 'salah', 'satu', 'gili', 'genting', 'pantai', 'sembilan', 'sumenepnya', 'nyebrang', 'menit', 'ohiya', 'perahu', 'cuman', 'angkut', 'manusia']
6	6	Taji Sanditias Zuhro	4 bulan lalu	Positif	pantai sembilan	Bagus, Biaya masuk murah, Tersedia tempat penginapannya jg 300-500rb per malam	Bagus Biaya masuk murah Tersedia tempat penginapannya jg rb per malam	['bagus', 'biaya', 'masuk', 'murah', 'tersedia', 'tempat', 'penginapannya', 'jg', 'rb', 'per', 'malam']	['bagus', 'biaya', 'masuk', 'murah', 'tersedia', 'tempat', 'penginapannya', 'juga', 'ribu', 'per', 'malam']	['bagus', 'biaya', 'masuk', 'murah', 'tersedia', 'penginapannya', 'ribu', 'malam']	['bagus', 'biaya', 'masuk', 'murah', 'sedia', 'inap', 'ribu', 'malam']
7	7	Ahmad Rofiu Syakir	5 bulan lalu	Positif	pantai sembilan	"Pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfoto-foto ria dan wahana permainan yg tentunya seru untuk dimainkan, dan di sini juga banyak rumah"" kecil yg bisa di sewa"	Pantai yg sangat indah dan nyaman untuk di kunjungi bersama teman dan keluarga tercinta banyak sport untuk berfotofoto ria dan wahana permainan yg tentunya seru untuk dimainkan dan di sini juga banyak rumah kecil yg bisa di sewa	['pantai', 'yg', 'sangat', 'indah', 'dan', 'nyaman', 'untuk', 'di', 'kunjungi', 'bersama', 'teman', 'dan', 'keluarga', 'tercinta', 'banyak', 'sport', 'untuk', 'berfotofoto', 'ria', 'dan', 'wahana', 'permainan', 'yg', 'tentunya', 'seru', 'untuk', 'dimainkan', 'dan', 'di', 'sini', 'juga', 'banyak', 'rumah', 'kecil', 'yg', 'bisa', 'di', 'sewa']	['pantai', 'yang', 'sangat', 'indah', 'dan', 'nyaman', 'untuk', 'di', 'kunjungi', 'bersama', 'teman', 'dan', 'keluarga', 'tercinta', 'banyak', 'sport', 'untuk', 'berfotofoto', 'ria', 'dan', 'wahana', 'permainan', 'yang', 'tentunya', 'seru', 'untuk', 'dimainkan', 'dan', 'di', 'sini', 'juga', 'banyak', 'rumah', 'kecil', 'yang', 'bisa', 'di', 'sewa']	['pantai', 'indah', 'nyaman', 'kunjungi', 'teman', 'keluarga', 'tercinta', 'sport', 'berfotofoto', 'ria', 'wahana', 'permainan', 'seru', 'dimainkan', 'rumah', 'sewa']	['pantai', 'indah', 'nyaman', 'kunjung', 'teman', 'keluarga', 'cinta', 'sport', 'berfotofoto', 'ria', 'wahana', 'main', 'seru', 'main', 'rumah', 'sewa']
8	8	Ismi Khaerunnisa	11 bulan lalu	Positif	pantai sembilan	Masuk kesini dikasih gratis sama penjaga pantainya baik banget. Namanya bang Saipul haha makasih banyak yaa bang. Mana mau direpotin lagi penjaga pantainya hahaha. Disuruh nganterin ke tengah laut yang ada rumah apungnya itu. Mau aja :(	Masuk kesini dikasih gratis sama penjaga pantainya baik banget Namanya bang Saipul haha makasih banyak yaa bang Mana mau direpotin lagi penjaga pantainya hahaha Disuruh nganterin ke tengah laut yang ada rumah apungnya itu Mau aja	['masuk', 'kesini', 'dikasih', 'gratis', 'sama', 'penjaga', 'pantainya', 'baik', 'banget', 'namanya', 'bang', 'saipul', 'haha', 'makasih', 'banyak', 'yaa', 'bang', 'mana', 'mau', 'direpotin', 'lagi', 'penjaga', 'pantainya', 'hahaha', 'disuruh', 'nganterin', 'ke', 'tengah', 'laut', 'yang', 'ada', 'rumah', 'apungnya', 'itu', 'mau', 'aja']	['masuk', 'kesini', 'dikasih', 'gratis', 'sama', 'penjaga', 'pantainya', 'baik', 'banget', 'namanya', 'bang', 'saipul', 'haha', 'terima kasih', 'banyak', 'ya', 'bang', 'mana', 'mau', 'direpotin', 'lagi', 'penjaga', 'pantainya', 'hahaha', 'disuruh', 'mengantarkan', 'ke', 'tengah', 'laut', 'yang', 'ada', 'rumah', 'apungnya', 'itu', 'mau', 'saja']	['masuk', 'kesini', 'dikasih', 'gratis', 'penjaga', 'pantainya', 'banget', 'namanya', 'bang', 'saipul', 'haha', 'terima kasih', 'bang', 'direpotin', 'penjaga', 'pantainya', 'hahaha', 'disuruh', 'mengantarkan', 'laut', 'rumah', 'apungnya']	['masuk', 'kesini', 'kasih', 'gratis', 'jaga', 'pantai', 'banget', 'nama', 'bang', 'saipul', 'haha', 'terima kasih', 'bang', 'direpotin', 'jaga', 'pantai', 'hahaha', 'suruh', 'antar', 'laut', 'rumah', 'apung']
9	9	Muhammad mukti	8 bulan lalu	Positif	pantai sembilan	Pantainya bagus. Pasir putih ombak juga gak gede2. Aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes	Pantainya bagus Pasir putih ombak juga gak gede Aksesnya paling dekat nyebrang dari pelabuhan tanjung ya gaes	['pantainya', 'bagus', 'pasir', 'putih', 'ombak', 'juga', 'gak', 'gede', 'aksesnya', 'paling', 'dekat', 'nyebrang', 'dari', 'pelabuhan', 'tanjung', 'ya', 'gaes']	['pantainya', 'bagus', 'pasir', 'putih', 'ombak', 'juga', 'enggak', 'gede', 'aksesnya', 'paling', 'dekat', 'nyebrang', 'dari', 'pelabuhan', 'tanjung', 'ya', 'gaes']	['pantainya', 'bagus', 'pasir', 'putih', 'ombak', 'gede', 'aksesnya', 'nyebrang', 'pelabuhan', 'tanjung', 'gaes']	['pantai', 'bagus', 'pasir', 'putih', 'ombak', 'gede', 'akses', 'nyebrang', 'labuh', 'tanjung', 'gaes']
