,Sentimen
737,Positif
738,Positif
739,Positif
740,Positif
741,Positif
742,Positif
743,Positif
744,Positif
745,Positif
746,Positif
747,Positif
748,Positif
749,Positif
750,Positif
751,Positif
752,Positif
753,Positif
754,Positif
755,Positif
756,Positif
757,Positif
758,Positif
759,Positif
760,Positif
761,Positif
762,Positif
763,Positif
764,Positif
765,Positif
766,Positif
767,Positif
768,Positif
769,Negatif
770,Positif
771,Positif
772,Positif
773,Positif
774,Positif
775,Positif
776,Positif
777,Positif
778,Negatif
779,Positif
780,Positif
781,Positif
782,Positif
783,Positif
784,Positif
785,Positif
786,Positif
787,Positif
788,Positif
789,Positif
790,Positif
791,Positif
792,Positif
793,Positif
794,Positif
795,Positif
796,Positif
797,Positif
798,Positif
799,Positif
800,Positif
801,Positif
802,Positif
803,Positif
804,Positif
805,Positif
806,Positif
807,Positif
808,Positif
809,Positif
810,Positif
811,Positif
812,Positif
813,Positif
814,Positif
815,Positif
816,Positif
817,Positif
818,Positif
819,Positif
820,Positif
821,Positif
822,Positif
823,Positif
824,Positif
825,Positif
826,Positif
827,Positif
828,Positif
829,Positif
830,Positif
831,Positif
832,Positif
833,Positif
834,Positif
835,Positif
836,Positif
837,Positif
838,Positif
839,Positif
840,Positif
841,Positif
842,Positif
843,Positif
844,Positif
845,Positif
846,Positif
847,Positif
848,Positif
849,Positif
850,Positif
851,Positif
852,Positif
853,Positif
854,Positif
855,Positif
856,Positif
857,Positif
858,Positif
859,Positif
860,Positif
861,Positif
862,Positif
863,Positif
864,Positif
865,Positif
866,Positif
867,Negatif
868,Positif
869,Positif
870,Positif
871,Positif
872,Negatif
873,Positif
874,Positif
875,Positif
876,Positif
877,Positif
878,Positif
879,Positif
880,Positif
881,Positif
882,Positif
883,Positif
884,Positif
885,Positif
886,Positif
887,Positif
888,Positif
889,Positif
890,Positif
891,Positif
892,Positif
893,Positif
894,Positif
895,Positif
896,Negatif
897,Positif
898,Positif
899,Positif
900,Positif
901,Positif
902,Positif
903,Positif
904,Positif
905,Positif
906,Positif
907,Positif
908,Positif
909,Positif
910,Positif
911,Positif
912,Positif
913,Positif
914,Positif
915,Positif
916,Positif
917,Positif
918,Positif
919,Positif
920,Positif
921,Positif
