,Sentimen
0,Positif
1,Positif
2,Positif
3,Positif
4,Positif
5,Positif
6,Positif
7,Positif
8,Positif
9,Positif
10,Positif
11,Negatif
12,Positif
13,Positif
14,Positif
15,Positif
16,Positif
17,Positif
18,Positif
19,Positif
20,Positif
21,Positif
22,Negatif
23,Positif
24,Positif
25,Negatif
26,Positif
27,Positif
28,Positif
29,Positif
30,Positif
31,Positif
32,Positif
33,Positif
34,Positif
35,Positif
36,Positif
37,Positif
38,Positif
39,Positif
40,Positif
41,Negatif
42,Negatif
43,Positif
44,Positif
45,Positif
46,Positif
47,Positif
48,Positif
49,Positif
50,Positif
51,Positif
52,Positif
53,Positif
54,Positif
55,Positif
56,Positif
57,Positif
58,Positif
59,Positif
60,Positif
61,Positif
62,Positif
63,Positif
64,Positif
65,Positif
66,Positif
67,Positif
68,Positif
69,Negatif
70,Negatif
71,Positif
72,Positif
73,Positif
74,Positif
75,Positif
76,Positif
77,Positif
78,Positif
79,Positif
80,Positif
81,Positif
82,Positif
83,Positif
84,Positif
85,Positif
86,Positif
87,Positif
88,Positif
89,Positif
90,Positif
91,Positif
92,Positif
93,Positif
94,Positif
95,Negatif
96,Positif
97,Positif
98,Positif
99,Positif
100,Positif
101,Positif
102,Positif
103,Negatif
104,Negatif
105,Negatif
106,Positif
107,Positif
108,Positif
109,Negatif
110,Positif
111,Positif
112,Positif
113,Positif
114,Positif
115,Positif
116,Positif
117,Negatif
118,Positif
119,Positif
120,Positif
121,Positif
122,Positif
123,Positif
124,Positif
125,Positif
126,Positif
127,Positif
128,Positif
129,Positif
130,Positif
131,Positif
132,Positif
133,Positif
134,Positif
135,Negatif
136,Positif
137,Positif
138,Positif
139,Positif
140,Negatif
141,Positif
142,Positif
143,Positif
144,Negatif
145,Positif
146,Negatif
147,Positif
148,Positif
149,Positif
150,Negatif
151,Positif
152,Positif
153,Positif
154,Negatif
155,Positif
156,Positif
157,Positif
158,Positif
159,Positif
160,Positif
161,Positif
162,Positif
163,Negatif
164,Positif
165,Positif
166,Positif
167,Positif
168,Positif
169,Positif
170,Positif
171,Positif
172,Positif
173,Positif
174,Positif
175,Negatif
176,Positif
177,Positif
