lokasi;Sentimen;komentar
Museum Keraton;Positif;Keraton sumenep, Satu²nya keraton di madura yg masih bisa di kunjungi, bangunan masih berdiri kokoh dan terawat, skrng ada tour ladernya, dia sngt ramah dan sngt detail penjelasannya
Museum Keraton;Positif;Tempat bagus untuk pelajar juga keluarga. Mempelajari sejarah kerajaan sumenep. Ada tour guide yg membantu menjelaskan tentang sejarah tempat, silsilah, benda2 pusaka dll.
Museum Keraton;Positif;Suasana yang cukup cocok bagi para wisatawan yang ingin melepas rasa penat. Nuansa taman, wisata kuliner, wisata sejarah dan beberapa objek lain yang menarik.
Museum Keraton;Positif;Saya blm pernah masuk ke dalam keraton, hanya beberapa kali lewat, tp lihat gapura nya sangat bagus sekali dan kelihatan masih sangat terawat dan original.. untuk wisata budaya sangat recommended sekali..
Museum Keraton;Negatif;Guide sudah lanjut usia dan kurang ramah, klo bisa ganti dengan anak muda yg cantik2 dan ramah
Museum Keraton;Positif;Mantab
Museum Keraton;Netral;Kesan pertama
Museum Keraton;Positif;Mantap bagus terawat dgn baik cagar budaya bangsa..
Museum Keraton;Netral;Alhamdulillah... Walaupun Sy warga pendatang dan sdh menjadi warga Sumenep sedikit banyak tlah mengetahui Museum Keraton Sumenep.
Museum Keraton;Netral;Lewat jalan paberasan
Museum Keraton;Positif;Terjaga kelestariannya n kebersihannya
Museum Keraton;Netral;Situs Berkaromah
Museum Keraton;Netral;Membantu mengenal sejarah kota Sumenep
Museum Keraton;Positif;Sangat indah
Museum Keraton;Netral;Pendopo Bupati yg bernuansa Kerajaan dengan menyajikan banyak kebudayaan lokal. Menjaga budaya dan membentengi kearifan lokal. Perlu dijadikan contoh bagi daerah lain. …
Museum Keraton;Positif;Peninggalan keratonan Sumenep, masih berdiri tegak karena dijaga dengan baik.
Museum Keraton;Positif;Museum dan Keratonnya keren, bersih dan terpelihara. Tiket masuk murah, selalu ditemani pemandu walau cuma sendirian, dan tidak ada biaya tambahan. Recommended buat pecinta sejarah. Datang kesini jangan cuma mau ambil air di taman sari atau beli ramuan madura ya, belajarlah juga sejarah Sumenep disini.
Museum Keraton;Netral;Tempat dimana kita dapat mengetahui sejarah asal usul kerajaan Sumenep
Museum Keraton;Negatif;Bener-bener mistical atmosphere. Membawa kita serasa kembali ke dunia masa lalu. Cuma toilet belakangnya loket gak terawat sama sekali.
Museum Keraton;Netral;tiket dewasa 5 rb, anak 3 rb pelayanan prima, gaet menjelaskan dari museum sampai keraton dg detail
Museum Keraton;Positif;Museum yang harus dilestarikan & dijaga agar generasi berikutnya tahu akan sejarah.
Museum Keraton;Positif;Tempat.a bgus bersih rekomended buat liburan akhir pekan
Museum Keraton;Positif;Tempatnya bagus banyak kuliner, wajib mampir kalau trip ke Sumenep
Museum Keraton;Netral;Bisa untuk wisata keluarga, bersejarah
Museum Keraton;Positif;"Seru tempat'e Nyaman Petugasnya ramah"""
Museum Keraton;Positif;Bagus...
Museum Keraton;Positif;Sejarah besar
Museum Keraton;Positif;Patut dikunjungi, keraton pusat sejarah, museum dan pelestari adat budaya
Museum Keraton;Positif;Keratonnya cukup luas, sejuk dengan nuansa pohon beringin tua yang tumbuh lebat dan masih perkasa. Sebagian peninggalan seperti kolam mandi para putri keraton masih ada, dengan berbagai khasiat yang dipercaya bagi siapa saja yang mencuci muka di air kolam tersebut. Sayangnya kondisi secara keseluruhan agak sedikit kurang terawat.
Museum Keraton;Positif;Keraton sangat terawat, rekomend untuk edukasi anak2 supaya tau sejarah Tempat yg paling di sukai kolam pemandian putri disitu banyak sekali ikan2 yg sangat besar dan cantik2..
Museum Keraton;Positif;Tempatnya bagus dan bersih. Juga tersedia banyak tempat cuci tangan. Dan wajib pakai masker. Tour guide juga ramah baik dan sabar dalam menjelaskan.. cocok untuk penikmat sejarah..
