;index;lokasi;Sentimen;komentar;tokenize;clean;normalize;stopword;stemming
0;0;Air terjun toroan;Positif;Air terjun yang bagus. Tiket masuk murah sekitar 5 ribu per orang. Air terjunnya jernih, dan langsung berseberangan dengan laut.;['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', '5', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', '', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', '', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', '', 'ribu', 'orang', 'air', 'terjunnya', 'jernih', 'langsung', 'berseberangan', 'laut'];['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', '', 'ribu', 'orang', 'air', 'terjun', 'jernih', 'langsung', 'berangan', 'laut']
1;1;Air terjun toroan;Positif;"Tempatnya bagus selain air terjun ,diatasnya jg ada rest area.
parkir 5rb+masuk 5rb (hari biasa)";['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', '5rbmasuk', '5rb', 'hari', 'biasa'];['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rbmasuk', 'rb', 'hari', 'biasa'];['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'juga', 'ada', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu', 'hari', 'biasa'];['tempatnya', 'bagus', 'air', 'terjun', 'diatasnya', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu'];['tempat', 'bagus', 'air', 'terjun', 'atas', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu']
2;2;Air terjun toroan;Positif;Bagus;['bagus'];['bagus'];['bagus'];['bagus'];['bagus']
3;3;Air terjun toroan;Positif;Mantap;['mantap'];['mantap'];['mantap'];['mantap'];['mantap']
4;4;Air terjun toroan;Negatif;Pemandangan yg indah, adem pula suasanyanya meskipun pinggir laut. Cuman air terjunya hanya ada ketika musim hujan;['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'yang', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan'];['pandang', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']
5;5;Air terjun toroan;Positif;tempat wisata yg keren dan recomended bgt buat dikunjungi, apalagi kuliner dan es degannya yg bner2 bisa buat kita move on dari mantan😍 …;['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner2', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan😍', '…'];['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan', ''];['tempat', 'wisata', 'yang', 'keren', 'dan', 'recomended', 'banget', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yang', 'benar', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan', ''];['wisata', 'keren', 'recomended', 'banget', 'dikunjungi', 'kuliner', 'es', 'degannya', 'move', 'on', 'mantan', ''];['wisata', 'keren', 'recomended', 'banget', 'kunjung', 'kuliner', 'es', 'degan', 'move', 'on', 'mantan', '']
6;6;Air terjun toroan;Negatif;Ada restorannya, harga murah, rasa pas aja poin 7. Hati2 ke lokasi air terjunnya, jalan agak licin dusim hujan.;['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', '7', 'hati2', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', '', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'saja', 'poin', '', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['restorannya', 'harga', 'murah', 'pas', 'poin', '', 'hati', 'lokasi', 'air', 'terjunnya', 'jalan', 'licin', 'dusim', 'hujan'];['restoran', 'harga', 'murah', 'pas', 'poin', '', 'hati', 'lokasi', 'air', 'terjun', 'jalan', 'licin', 'dusim', 'hujan']
7;7;Air terjun toroan;Negatif;Karena habis hujan jadi airnya keruh;['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['habis', 'hujan', 'airnya', 'keruh'];['habis', 'hujan', 'air', 'keruh']
8;8;Air terjun toroan;Netral;Terpantau masih seperti dulu 😅 …;['terpantau', 'masih', 'seperti', 'dulu', '😅', '…'];['terpantau', 'masih', 'seperti', 'dulu', '', ''];['terpantau', 'masih', 'seperti', 'dulu', '', ''];['terpantau', '', ''];['pantau', '', '']
9;9;Air terjun toroan;Positif;Pemandangan eksotis pinggir laut;['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut'];['pandang', 'eksotis', 'pinggir', 'laut']
