lokasi;Sentimen;komentar
Pantai Lombang;Negatif;jauh2 dari nganjuk jawa timur ke pantai ini.. overall cukup oke, tapi kurang fasilitas dan jalan ke lokasi kurang bagus... …
Pantai Lombang;Negatif;Pantainya bagus tapi masih kotor dengan berbagai bungkusnya makanan instan, seperti popmie dll, penerapan jangan buang sampah semberangan masih minim, pengunjung dengan se enaknya buang sampah di pinggir pantai.
Pantai Lombang;Positif;Pantai masih terbilang bersih, berkunjung saat pertengahan minggu jadi tdk terlalu ramai. Lebih nyaman utk bisa kumpul dgn keluarga. …
Pantai Lombang;Positif;suasana laut tenang dengan hamparan pasir putih serta hijaunya pepohonan cemara udang... aman buat anak2 mandi....
Pantai Lombang;Negatif;"Destinasi wajib yg harus dikunjungi jika ke Sumenep,
Mohon sampahnya utk dikontrol secara proaktif tiap waktu"
Pantai Lombang;Positif;Pantai indah dengan pasir coklat emas dan rindangnya pohon Cemara
Pantai Lombang;Negatif;Tempat bagus dan lumayan bersih air juga bersih.. Tapi parkiran agak jauh
Pantai Lombang;Negatif;Pantainya bersih bebas sampah tapi sayangnya akses jalan menuju pantai rusakk dan kurag memadai semapt kesasar wktu pkek google maps kwkwk
Pantai Lombang;Negatif;"Tempatnya bagus
Sayang waktu kesana hujan ga reda2 sampai banjir"
Pantai Lombang;Positif;Cukup seru lokasinya apalagi dibuat santai bersama kelrg besar ... MantaBBBak
Pantai Lombang;Positif;Pantai bersih dari sampah, sepanjang jalur menuju pantai kita di suguhkan pemandangan pohon bonsai cemara udang. Pemandangan pantai pulau jawa sangat bagus, ombak tidak besar, jadi aman untuk bermain.
Pantai Lombang;Positif;Ombak landai,, cocok untuk wisata
Pantai Lombang;Negatif;Bagus, cuma kurang terawat
Pantai Lombang;Netral;Pernah kesana dulu 2014,, pengin kesana lagi,
Pantai Lombang;Negatif;Pasir putih, panjang, cuma ada saluran air ke pantai n tdk bersih. Kurang perawatan... pdhal kena tiket masuk yg lumayan. Tapi pembangunan fasilitas umumnya kurang baik....
Pantai Lombang;Negatif;"Lokasinya jorok dan kotor.
Karena ada beberapa ekor kuda yang untuk foto foto pengunjung"
Pantai Lombang;Negatif;Pantai nya bersih..namun sayang kurang perawatan.. gazebo nya bocor dan banyak genteng lepas
Pantai Lombang;Positif;Garis pantai luas dan panjang,  ombak tenang, banyak pohon cemara
Pantai Lombang;Netral;Pantai terpanjang dengan pasir putih di sumenep madura
Pantai Lombang;Positif;Tempatnya bagus wisatanya itu sejuk gitu loh pengunjungnya ramai
Pantai Lombang;Positif;"Pantai nya cukup indah lihat review nya di channel yutub kami ""Positive Vibes Indonesia"""
Pantai Lombang;Negatif;Pantainya bagus, hanya kurang pengelolaannya saja
Pantai Lombang;Negatif;Pantainya bagus tp perjalanannya jauh ?? …
Pantai Lombang;Negatif;Pantai yang sangat indah, sayang banyak sampahnya
Pantai Lombang;Positif;pemandanga sangat indah mempesona
Pantai Lombang;Positif;Pantai legendaris di Kabupaten Sumenep
Pantai Lombang;Positif;Luas dan sejuk sangat menyenangkan.
Pantai Lombang;Positif;Selalu ramai saat libur lebaran
Pantai Lombang;Positif;Tempat rekreasi yang sangat cocok
Pantai Lombang;Positif;Mantab bngt tiada duanya.
Pantai Lombang;Positif;Seruuu
Pantai Lombang;Positif;Bagussss bersih
Pantai Lombang;Positif;Bagus
Pantai Lombang;Positif;Sangat mempesona
Pantai Lombang;Positif;Pantai cantik di Sumenep
Pantai Lombang;Positif;Alami
Pantai Lombang;Positif;Lombang top
Pantai Lombang;Negatif;Ya tidak apa-apa, hanya saja kurangnya kesadaran untuk membuang sampah pada tempatnya
Pantai Lombang;Positif;Pantai Lombang sangat indah
Pantai Lombang;Positif;pantai terbaik di sumenep madura
Pantai Lombang;Netral;Tempat berkemah
